	PI			
P4-s1-d1-t42	Jared			
P4-s1-d2-b	Jared			
P4-s1-d2-t0	Jared			
P4-s1-d2-t14	Jared			
P4-s1-d2-t21	Jared			
P4-s1-d2-t2	Jared			
P4-s1-d2-t42	Jared			
P4-s2-d1-b	Jared			
P4-s2-d1-t0	Jared			
P4-s2-d1-t14	Jared			
P4-s2-d1-t21	Jared			
P4-s2-d1-t2	Jared			
P4-s2-d1-t42	Jared			
P4-s2-d2-b	Jared			
P4-s2-d2-t0	Jared			
P4-s2-d2-t14	Jared			
P4-s2-d2-t21	Jared			
P4-s2-d2-t2	Jared			
P4-s2-d2-t42	Jared			
P4-s3-d1-b	Jared			
P4-s3-d1-t0	Jared			
P4-s3-d1-t14	Jared			
P4-s3-d1-t21	Jared			
P4-s3-d1-t2	Jared			
P4-s3-d1-t42	Jared			
P4-s3-d2-b	Jared			
P4-s3-d2-t0	Jared			
P4-s3-d2-t14	Jared			
P4-s3-d2-t21	Jared			
P4-s3-d2-t2	Jared			
P4-s3-d2-t42	Jared			
P4-s4-d1-b	Jared			
P4-s4-d1-t0	Jared			
P4-s4-d1-t14	Jared			
P4-s4-d1-t21	Jared			
P4-s4-d1-t2	Jared			
P4-s4-d1-t42	Jared			
P4-s4-d2-b	Jared			
P4-s4-d2-t0	Jared			
P4-s4-d2-t14	Jared			
P4-s4-d2-t21	Jared			
P4-s4-d2-t2	Jared			
P4-s4-d2-t42	Jared			
P4-s5-d1-b	Jared			
P4-s5-d1-t0	Jared			
P4-s5-d1-t14	Jared			
P4-s5-d1-t21	Jared			
P4-s5-d1-t2	Jared			
P4-s5-d1-t42	Jared			
P4-s5-d2-b	Jared			
P4-s5-d2-t0	Jared			
P4-s5-d2-t14	Jared			
P4-s5-d2-t21	Jared			
P4-s5-d2-t2	Jared			
P4-s5-d2-t42	Jared			
P4-s6-d1-b	Jared			
P4-s6-d1-t0	Jared			
P4-s6-d1-t14	Jared			
P4-s6-d1-t21	Jared			
P4-s6-d1-t2	Jared			
P4-s6-d1-t42	Jared			
P4-s6-d2-b	Jared			
P4-s6-d2-t0	Jared			
P4-s6-d2-t14	Jared			
P4-s6-d2-t21	Jared			
P4-s6-d2-t2	Jared			
P4-s6-d2-t42	Jared			
P4-s7-d1-b	Jared			
P4-s7-d1-t0	Jared			
P4-s7-d1-t14	Jared			
P4-s7-d1-t21	Jared			
P4-s7-d1-t2	Jared			
P4-s7-d1-t42	Jared			
P4-s7-d2-b	Jared			
P4-s7-d2-t0	Jared			
P4-s7-d2-t14	Jared			
P4-s7-d2-t21	Jared			
P4-s7-d2-t2	Jared			
P4-s7-d2-t42	Jared			
P4-s8-d1-b	Jared			
P4-s8-d1-t0	Jared			
P4-s8-d1-t14	Jared			
P4-s8-d1-t21	Jared			
P4-s8-d1-t2	Jared			
P4-s8-d1-t42	Jared			
P4-s8-d2-b	Jared			
P4-s8-d2-t0	Jared			
P4-s8-d2-t14	Jared			
P4-s8-d2-t21	Jared			
P4-s8-d2-t2	Jared			
P4-s8-d2-t42	Jared			
P4-s9-d1-b	Jared			
P4-s9-d1-t0	Jared			
P4-s9-d1-t14	Jared			
P4-s9-d1-t21	Jared			
P4-s9-d1-t2	Jared			
P4-s9-d1-t42	Jared			
P4-s9-d2-b	Jared			
P4-s9-d2-t0	Jared			
P4-s9-d2-t14	Jared			
P4-s9-d2-t21	Jared			
P4-s9-d2-t2	Jared			
P4-s9-d2-t42	Jared			
P5-1	Jared			
P5-2	Jared			
P5-3	Jared			
P5-4	Jared			
P5-5	Jared			
P5-6	Jared			
P5-s1-d1-b	Jared			
P5-s1-d1-t0	Jared			
P5-s1-d1-t14	Jared			
P5-s1-d1-t21	Jared			
P5-s1-d1-t2	Jared			
P5-s1-d1-t42	Jared			
P5-s1-d2-b	Jared			
P5-s1-d2-t0	Jared			
P5-s1-d2-t14	Jared			
P5-s1-d2-t21	Jared			
P5-s1-d2-t2	Jared			
P5-s1-d2-t42	Jared			
P5-s2-d1-b	Jared			
P5-s2-d1-t0	Jared			
P5-s2-d1-t14	Jared			
P5-s2-d1-t21	Jared			
P5-s2-d1-t2	Jared			
P5-s2-d1-t42	Jared			
P5-s2-d2-b	Jared			
P5-s2-d2-t0	Jared			
P5-s2-d2-t14	Jared			
P5-s2-d2-t21	Jared			
P5-s2-d2-t2	Jared			
P5-s2-d2-t42	Jared			
P5-s3-d1-b	Jared			
P5-s3-d1-t0	Jared			
P5-s3-d1-t14	Jared			
P5-s3-d1-t21	Jared			
P5-s3-d1-t2	Jared			
P5-s3-d1-t42	Jared			
P5-s3-d2-b	Jared			
P5-s3-d2-t0	Jared			
P5-s3-d2-t14	Jared			
P5-s3-d2-t21	Jared			
P5-s3-d2-t2	Jared			
P5-s3-d2-t42	Jared			
P5-s4-d1-b	Jared			
P5-s4-d1-t0	Jared			
P5-s4-d1-t14	Jared			
P5-s4-d1-t21	Jared			
P5-s4-d1-t2	Jared			
P5-s4-d1-t42	Jared			
P5-s4-d2-b	Jared			
P5-s4-d2-t0	Jared			
P5-s4-d2-t14	Jared			
P5-s4-d2-t21	Jared			
P5-s4-d2-t2	Jared			
P5-s4-d2-t42	Jared			
P5-s5-d1-b	Jared			
P5-s5-d1-t0	Jared			
P5-s5-d1-t14	Jared			
P5-s5-d1-t21	Jared			
P5-s5-d1-t2	Jared			
P5-s5-d1-t42	Jared			
P5-s5-d2-b	Jared			
P5-s5-d2-t0	Jared			
P5-s5-d2-t14	Jared			
P5-s5-d2-t21	Jared			
P5-s5-d2-t2	Jared			
P5-s5-d2-t42	Jared			
P5-s6-d1-b	Jared			
P5-s6-d1-t0	Jared			
P5-s6-d1-t14	Jared			
P5-s6-d1-t21	Jared			
P5-s6-d1-t2	Jared			
P5-s6-d1-t42	Jared			
P5-s6-d2-b	Jared			
P5-s6-d2-t0	Jared			
P5-s6-d2-t14	Jared			
P5-s6-d2-t21	Jared			
P5-s6-d2-t2	Jared			
P5-s6-d2-t42	Jared			
P5-s7-d1-b	Jared			
P5-s7-d1-t0	Jared			
P5-s7-d1-t14	Jared			
P5-s7-d1-t21	Jared			
P5-s7-d1-t2	Jared			
P5-s7-d1-t42	Jared			
P5-s7-d2-b	Jared			
P5-s7-d2-t0	Jared			
P5-s7-d2-t14	Jared			
P5-s7-d2-t21	Jared			
P5-s7-d2-t2	Jared			
P5-s7-d2-t42	Jared			
P5-s8-d1-b	Jared			
P5-s8-d1-t0	Jared			
P5-s8-d1-t14	Jared			
P5-s8-d1-t21	Jared			
P5-s8-d1-t2	Jared			
P5-s8-d1-t42	Jared			
P5-s8-d2-b	Jared			
P5-s8-d2-t0	Jared			
P5-s8-d2-t14	Jared			
P5-s8-d2-t21	Jared			
P5-s8-d2-t2	Jared			
P5-s8-d2-t42	Jared			
P5-s9-d1-b	Jared			
P5-s9-d1-t0	Jared			
P5-s9-d1-t14	Jared			
P5-s9-d1-t21	Jared			
P5-s9-d1-t2	Jared			
P5-s9-d1-t42	Jared			
P5-s9-d2-b	Jared			
P5-s9-d2-t0	Jared			
P5-s9-d2-t14	Jared			
P5-s9-d2-t21	Jared			
P5-s9-d2-t2	Jared			
P5-s9-d2-t42	Jared			
P6-1	Jared			
P6-2	Jared			
P6-3	Jared			
P6-4	Jared			
P6-5	Jared			
P6-6	Jared			
P6-s1-d1-b	Jared			
P6-s1-d1-t0	Jared			
P6-s1-d1-t14	Jared			
P6-s1-d1-t21	Jared			
P6-s1-d1-t2	Jared			
P6-s1-d1-t42	Jared			
P6-s1-d2-b	Jared			
P6-s1-d2-t0	Jared			
P6-s1-d2-t14	Jared			
P6-s1-d2-t21	Jared			
P6-s1-d2-t2	Jared			
P6-s1-d2-t42	Jared			
P6-s2-d1-b	Jared			
P6-s2-d1-t0	Jared			
P6-s2-d1-t14	Jared			
P6-s2-d1-t21	Jared			
P6-s2-d1-t2	Jared			
P6-s2-d1-t42	Jared			
P6-s2-d2-b	Jared			
P6-s2-d2-t0	Jared			
P6-s2-d2-t14	Jared			
P6-s2-d2-t21	Jared			
P6-s2-d2-t2	Jared			
